family,panel,mse_mean,mae_mean,prior_mse_mean,skill_vs_prior_mean,dynamic_skill_mean,dynamic_pearson_mean,dynamic_spearman_mean,within_cancer_skill_mean,within_cancer_pearson_mean,within_cancer_spearman_mean,dynamic_calibration_alpha_mean,dynamic_amplitude_ratio_mean,sample_win_fraction_mean,cpg_win_fraction_mean,macro_cancer_mse_mean,macro_cancer_skill_vs_prior_mean,mse_std,mae_std,prior_mse_std,skill_vs_prior_std,dynamic_skill_std,dynamic_pearson_std,dynamic_spearman_std,within_cancer_skill_std,within_cancer_pearson_std,within_cancer_spearman_std,dynamic_calibration_alpha_std,dynamic_amplitude_ratio_std,sample_win_fraction_std,cpg_win_fraction_std,macro_cancer_mse_std,macro_cancer_skill_vs_prior_std,n_seeds
cancer_type_only,double_ood,0.026412135207481657,0.09668972442905908,0.0273785206113862,0.03529721045273149,0.0949904758700059,0.3082183133397753,0.24993548385443565,0.0,,,0.9727186409644567,0.3168329076722436,0.6441223832528181,0.5764555342290466,0.02763051901484463,0.031115119826996662,0.00028432517566902787,0.0002940777501767478,0.0,0.010384972208862989,0.00797352308135075,0.01274252673144657,0.009608537271114615,0.0,,,0.02483645633962101,0.00871513166145966,0.07902403193117531,0.010571152681931081,9.154601706574043e-05,0.0068886585689133,3
cancer_type_only,in_distribution,0.02714775221886523,0.10385493390335047,0.030564779985101136,0.11170606124571159,0.13340156188808439,0.3663244624561843,0.3169484617764009,8.449167291738983e-13,0.00010317112020918109,0.0008726831859163852,1.0888466387610407,0.33645645406278396,0.8929353778751369,0.6455078125,0.028783513610443217,0.09910828049595648,0.00012799584929505933,0.0005149783935234313,0.0003918119254062368,0.011300264932612034,0.010375255971277003,0.014402673642201278,0.011617767139537818,3.181568917531791e-12,0.0003784856392486351,0.0013596563976631666,0.022387152660218467,0.012109477493183638,0.029794801558316687,0.008950343154210625,0.00021849148251290007,0.009153406226939251,3
cancer_type_only,locus_ood,0.026402845957639438,0.09659011357002696,0.027386690314053903,0.0359241786843294,0.09816936202648448,0.3132575932458817,0.2522455745117729,4.802787797094273e-12,0.0005888954230038228,0.0005050599915774769,0.9893838774646962,0.3166209316290509,0.6118108798831691,0.5713371721049264,0.02757510898932719,0.03254106552244677,0.00032369134623121175,0.0003285935205128328,0.0,0.011819294062893893,0.006365854947509211,0.01014285021145435,0.009925467826664933,3.866635770895585e-12,0.00047102597842971574,0.0009982328213548395,0.016245081488107577,0.008891484536486102,0.07858115207044312,0.01306498903177361,0.00018877299133001564,0.008822005339726916,3
cancer_type_only,sample_ood,0.02691028684174299,0.10335928075270535,0.030129142482141075,0.10693691846536409,0.13319391412520312,0.3665911399859661,0.3132484052988306,0.0,,,1.1115432846571445,0.3301975288493932,0.9033816425120773,0.6451822916666666,0.028468382120621718,0.09551295402438979,0.0009338336716595537,0.002267351760005595,0.0006721825916226645,0.017473039298171185,0.014359473991046456,0.019818970430045386,0.014424205146767328,0.0,,,0.04584935605623352,0.022526638636537206,0.031953518249572356,0.0005638186222555019,0.0009445207272261349,0.016846015058041626,3
mean_rna_negative_control,double_ood,0.027378520560810124,0.10572464500962782,0.0273785206113862,1.8472904317334837e-09,2.0477675111152394e-10,0.0040383208000316665,0.03598381044826793,-4.5884925488811255e-11,-0.0030223390436785297,0.002629462962303552,140969.97152959986,1.932220554315846e-08,0.5684380032206119,0.23736404350607807,0.02859892876044084,1.4238744396507148e-09,1.3685771440266593e-10,5.022659219857007e-10,0.0,4.998725668984968e-09,3.70863023844958e-10,0.009815862757865088,0.04397133747261283,2.2864420989082423e-11,0.0016645987204795467,0.00309269625125028,539480.9037594276,3.869285909026694e-09,0.19763020705483883,0.012339924198327504,1.2703081909682556e-10,5.169222704755088e-09,3
mean_rna_negative_control,in_distribution,0.03056477996861474,0.11781080070996992,0.030564779985101136,5.613059646710402e-10,-9.432602846951946e-12,-0.0017822183295329698,0.020017472108346906,1.1894189337150843e-13,-0.00014860502688532462,0.0011009471254523995,-744861.5804765021,2.4716385379449724e-09,0.4682822197882439,0.189453125,0.031973615442815385,1.2418931878236765e-09,0.0003918120037054192,0.0009437851544091914,0.0003918119254062368,2.5718952861433933e-09,6.82271553481417e-12,0.0006789019820572586,0.05002156021008784,4.478172660598443e-12,0.0006660629309381553,0.0019429462696149893,267644.33387977205,9.588518862040169e-10,0.14850692506425148,0.016076247688627275,0.0004143182149659146,3.1888630534541352e-09,3
mean_rna_negative_control,locus_ood,0.02738669025518151,0.10563375374107546,0.027386690314053903,2.1496717739211135e-09,-5.876632513945879e-12,-0.0007368902000079749,0.034225460951035874,1.924571613187709e-12,0.0002845008139609188,0.0010620950830116764,-201067.00542360658,2.9134139715212694e-09,0.5723347937203359,0.2437619961612284,0.028562469490180733,1.7651501834266743e-09,1.3247360182445755e-10,5.092768773122516e-10,0.0,4.8371526617310825e-09,8.488571284649776e-12,0.0008976100799195767,0.062245592154953636,6.750608737364797e-13,5.099715548277619e-05,0.002906261784796871,184101.1140661116,1.3384814811510505e-09,0.19950568625397594,0.015710849850043073,1.3550739993168791e-10,5.355916263343689e-09,3
mean_rna_negative_control,sample_ood,0.030129142469730686,0.11675291162963967,0.030129142482141075,4.0654886864407064e-10,-9.740460290193671e-11,-0.0035111335570488325,0.01785039116092376,-2.0953831262697047e-11,-0.0018803189046632536,0.002278214782478558,-252177.96272618338,1.5310211834889744e-08,0.48792270531400966,0.17740885416666666,0.031472482353157104,5.083320489078039e-10,0.0006721825814086212,0.0022838273997786767,0.0006721825916226645,2.5415833431716737e-09,1.46584500078826e-10,0.00499445028070742,0.03828881856998699,6.640052624002153e-11,0.005140952470245102,0.0036139697459931616,343885.5688651681,1.5277506392615103e-09,0.11716843319454012,0.00938381204778618,0.0006585833954419307,3.2847825131772013e-09,3
prior_reference,double_ood,0.027378520611386202,0.10572464530473538,0.027378520611386202,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.028598928789919487,0.0,,,,,,,,,,,,,,,,,1
prior_reference,in_distribution,0.030229007817653215,0.11674471409405995,0.030229007817653215,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.03156960151816293,0.0,,,,,,,,,,,,,,,,,1
