family,seed,unit,mean_diff,ci_low,ci_high
c0_v1,17,patient,-0.00790388519073107,-0.010197338112180246,-0.005151902545019183
c0_v1,17,genomic_block,-0.00828450215819967,-0.021640979245171398,0.004658290448709629
c0_v1,29,patient,0.0017686135208889876,-0.0006829849037694319,0.004069604424244899
c0_v1,29,genomic_block,0.0019144692491048043,-0.013760882773958325,0.015313206137802167
c0_v1,43,patient,0.003480192907334452,0.0008431201709401232,0.00587712894023899
c0_v1,43,genomic_block,0.0031537097241371025,-0.005820785236921278,0.013606048637165344
c0_v2,17,patient,-0.00033349299830662667,-0.0004289045463633873,-0.00025230773959679105
c0_v2,17,genomic_block,-0.00033175125633409406,-0.0007085951409830094,2.5907889351386973e-05
c0_v2,29,patient,0.00045382946697032764,0.00033132455837525665,0.0005442575180465842
c0_v2,29,genomic_block,0.0004486569220749307,1.821477583219545e-05,0.0009580128418446879
c0_v2,43,patient,-7.46556624774064e-05,-0.00013320405820901326,-1.463055409896556e-05
c0_v2,43,genomic_block,-8.760293385205453e-05,-0.00036706630174764,0.00022487733741476665
c0_v3,17,patient,-0.007899936148575065,-0.010651341485683252,-0.005017298427988824
c0_v3,17,genomic_block,-0.007738172660417906,-0.01999007487208381,0.004429334390413883
c0_v3,29,patient,0.0018291496162600154,-0.0008040889028118141,0.004344197486165377
c0_v3,29,genomic_block,0.0020804394422388726,-0.01189107504411959,0.013543309641949748
c0_v3,43,patient,0.0036192754738984347,0.001107110805234285,0.006128116018569519
c0_v3,43,genomic_block,0.003129182545040391,-0.008525728654221756,0.013853924834176093
c1_mlp64_v0,17,patient,-0.013267828207235386,-0.0169440257889081,-0.009595422381026111
c1_mlp64_v0,17,genomic_block,-0.013434974325058429,-0.030508009300624254,0.009370414837888006
c1_mlp64_v0,29,patient,-0.0312794504672418,-0.03520421568230034,-0.027960946863987608
c1_mlp64_v0,29,genomic_block,-0.031425515965372804,-0.06040576388021257,-0.005075594351442167
c1_mlp64_v0,43,patient,-0.016755241298243514,-0.020169367811118534,-0.012563828811530776
c1_mlp64_v0,43,genomic_block,-0.017139955861941978,-0.03886604323847105,0.003332118740261232
c1_mlp64_v1,17,patient,-0.02862753822964444,-0.03187642853751888,-0.02573902845788552
c1_mlp64_v1,17,genomic_block,-0.028912756963147584,-0.05345282996241145,-0.007983151058630074
c1_mlp64_v1,29,patient,-0.02869955450048157,-0.03237012556246138,-0.025391467385848895
c1_mlp64_v1,29,genomic_block,-0.027877466818391195,-0.05170908288852086,-0.0064085653079931255
