family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
c0,double_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0,in_distribution,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0,locus_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0,sample_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0_lr2e-4,double_ood,c0_v0,3,0.00033958444080447434,9.307012064025182e-05,0.0241354629396571,-0.012403315928737483,0.0033993845745466053,0.024135462939657515,-0.02141684196810804,0.012989502299376085,0.10386323192884495,-0.019838477481119814,0.009331075717271316,0.06647489756214936
c0_lr2e-4,in_distribution,c0_v0,3,0.0008657785597883152,0.0007440095527166091,0.18140656710874137,-0.0283517575769295,0.02437283848417858,0.1815026191822325,-0.029070776445474584,0.023825920513796558,0.16891766962031945,-0.033882557651287636,0.017018106347685084,0.0747804653311221
c0_lr2e-4,locus_ood,c0_v0,3,0.00046245868221761813,9.400616486505801e-05,0.013495352188390182,-0.016886256678496858,0.0034325493072384188,0.013495352188390422,-0.02850647631390905,0.016266160160896947,0.09355190767178195,-0.03024953537289843,0.011662018162669449,0.04614168237515427
c0_lr2e-4,sample_ood,c0_v0,3,0.0006153511355728043,0.0004675422787214597,0.15023894399003815,-0.020659448591134777,0.015976092229068543,0.15444369196686758,-0.021706688735942503,0.019665629747413326,0.19605132132010736,-0.021754899681676543,0.011448588051436826,0.08122549389708052
c0_lr2e-5,double_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0_lr2e-5,in_distribution,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0_lr2e-5,locus_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0_lr2e-5,sample_ood,c0_v0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
c0_lr6.67e-5,double_ood,c0_v0,3,0.00026688609954466394,0.00011485056722219776,0.056544618489748684,-0.00974801024981864,0.0041949150157673,0.05654461848974948,-0.0055614137125960346,0.013782382866093085,0.5569478882855927,-0.003314256532338152,0.00958698541627465,0.6101085732615558
c0_lr6.67e-5,in_distribution,c0_v0,3,3.006766839914442e-05,0.00112104580475458,0.9671687184113437,-0.0012961129691896334,0.03669399956568286,0.9567797349541856,0.0016785645425147304,0.026826784812472557,0.923591168049616,-0.004062332251287344,0.0202263829699813,0.7611385454618642
c0_lr6.67e-5,locus_ood,c0_v0,3,0.0002745539880446117,0.0001196430757380462,0.057860035314100444,-0.010025088278145114,0.004368657708034508,0.05786003531409973,-0.006622712648480837,0.015074187619671872,0.5261600089448104,-0.004870098894457775,0.014204020273158417,0.6128259982055014
c0_lr6.67e-5,sample_ood,c0_v0,3,-0.00028856979287177526,0.0010055095736285335,0.6683994024540518,0.009470697860120855,0.03324156671129249,0.6705444529484343,0.00562379672420484,0.024667559681486418,0.731065336381214,-0.00042082817770672243,0.01507129883979296,0.9658220543490993
