model,rows,samples,cpgs,mse,mae,prior_mse,skill_vs_prior,dynamic_skill,dynamic_pearson,dynamic_spearman,within_cancer_skill,within_cancer_pearson,within_cancer_spearman,dynamic_calibration_alpha,dynamic_amplitude_ratio,sample_win_fraction,cpg_win_fraction,macro_cancer_mse,macro_cancer_skill_vs_prior
empirical_train_only_prior,213091,414,521,0.01824374842323752,0.07737961531099972,0.027378520611386202,0.3336473989156926,2.220446049250313e-16,7.252719828671031e-18,-0.014371942827644835,0.0,1.696767432464968e-18,-0.0030058354275115553,0.003505088895953026,4.138754381380737e-15,0.9975845410628019,0.9692898272552783,0.019741677292619386,0.3305346305493594
methylprophet_static_prior,213091,414,521,0.03392664815851034,0.10925286150342553,0.027378520611386202,-0.23917024736540715,0.0,,,0.0,,,,0.0,0.028985507246376812,0.46833013435700577,0.03494320462283686,-0.22574546639638154
ntv3_prior,213091,414,521,0.027378520611386202,0.10572464530473538,0.027378520611386202,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.028598928789919487,0.0
methylprophet_original,213091,414,521,0.027192729338890297,0.09608731449062449,0.027378520611386202,0.006786023070166847,0.1703877652298621,0.4834627033346857,0.4069416399989134,0.13166053125798394,0.41928285041988966,0.30451226207633153,0.6576347527112875,0.7351538241272567,0.4033816425120773,0.5431861804222649,0.028015248694179658,0.0002455512523505121
mp_prior_plus_calibrated_mp_dynamic,213091,414,521,0.02702524200143934,0.09663421221842429,0.027378520611386202,0.012903495223914319,0.22631968731738838,0.47778269689917185,0.39886709303091805,0.1721638375845227,0.4156949813829423,0.302298706065533,0.9152638139791989,0.5220163734234892,0.4178743961352657,0.6046065259117083,0.027885153923322716,0.0062519105520081435
ntv3_prior_plus_calibrated_mp_dynamic,213091,414,521,0.0233574636867951,0.09146437037458333,0.027378520611386202,0.14686903582799227,0.22956984833179195,0.4829361387910614,0.4013965395911804,0.1751196641440651,0.4202076906218976,0.3035027299308942,0.8887090077218452,0.5434131246503743,0.8333333333333334,0.6199616122840691,0.024218831425340665,0.1417502447061424
c0_v0_seed17,213091,414,521,0.02414923681459566,0.09265751845329574,0.027378520611386202,0.11794953579221312,0.2092555417947629,0.45778344566977813,0.3912652046069066,0.15501714903354424,0.39385651074136485,0.29971630826352397,0.9629553174380047,0.4753942757050618,0.8454106280193237,0.6852207293666027,0.02488631945767491,0.12170980766886103
ntv3_prior_plus_calibrated_c0_dynamic_seed17,213091,414,521,0.024105573872207554,0.09277312532577014,0.027378520611386202,0.11954432402083448,0.2095745202349769,0.45779362326946654,0.39045860244294484,0.1550478372118237,0.3938022519277083,0.29943593665251006,1.0015176926400613,0.45709988613650443,0.855072463768116,0.6890595009596929,0.024856505356702897,0.12319144863413048
c0_v0_seed29,213091,414,521,0.024179430713652538,0.09239114496749273,0.027378520611386202,0.11684670414234233,0.20788500733418402,0.4565019998546623,0.3871475275198497,0.15488132385935927,0.39369860472115853,0.2979796418935587,0.9529029076369876,0.4790645470761527,0.8599033816425121,0.6890595009596929,0.02487290033672135,0.12218648032382234
ntv3_prior_plus_calibrated_c0_dynamic_seed29,213091,414,521,0.024151698710481843,0.09245247275354429,0.027378520611386202,0.1178596150868132,0.2082359169481688,0.4564907956239479,0.38664494251405945,0.15495863524249176,0.39365171909976765,0.2978322041927353,0.9740477115031486,0.4686534245016529,0.8768115942028986,0.6948176583493282,0.024853789089272035,0.12309835575229236
c0_v0_seed43,213091,414,521,0.024301579046837555,0.09241824735070019,0.027378520611386202,0.1123852383488173,0.2143538260489094,0.46371286832928815,0.39374091919152343,0.16052294210745466,0.40067508150679965,0.3049608477067377,0.9469151685740537,0.4897089873716853,0.8260869565217391,0.6928982725527831,0.02495057373191131,0.11918632381674404
ntv3_prior_plus_calibrated_c0_dynamic_seed43,213091,414,521,0.02419634688334974,0.09260868672299978,0.027378520611386202,0.11622884133166256,0.21477817851627146,0.46356612914235035,0.39184886487705584,0.1595945019652324,0.40041970345800526,0.3043771119670405,1.0237208669009379,0.4528247339000548,0.8719806763285024,0.7063339731285988,0.024879383949987982,0.1224661999329486
c0_v0_beta_ensemble,213091,414,521,0.02409085030151726,0.09226481828284118,0.027378520611386202,0.12008210219005266,0.21493886388236416,0.46379711282250147,0.39514127071495236,0.16135191118553172,0.40169637934866553,0.30646845825541424,0.9727427407044448,0.476793188388769,0.8719806763285024,0.690978886756238,0.02478353396819622,0.12534759832892428
ntv3_prior_plus_calibrated_c0_dynamic_ensemble,213091,414,521,0.02406183516887811,0.09234150677034937,0.027378520611386202,0.12114187941655064,0.21508853397533556,0.46377709227346264,0.3945674757633436,0.1611362334107177,0.4016406828603355,0.30628098160939543,0.9982548694078865,0.4645878587585076,0.8864734299516909,0.6948176583493282,0.02476474815725785,0.12628139140423444
