model,rows,samples,cpgs,mse,mae,prior_mse,skill_vs_prior,dynamic_skill,dynamic_pearson,dynamic_spearman,patient_dynamic_pearson_median,patient_dynamic_spearman_median,locus_dynamic_pearson_median,locus_dynamic_spearman_median,within_cancer_skill,within_cancer_pearson,within_cancer_spearman,dynamic_calibration_alpha,dynamic_amplitude_ratio,sample_win_fraction,cpg_win_fraction,macro_cancer_mse,macro_cancer_skill_vs_prior,per_variability_tertile
empirical_train_only_prior,213091,414,521,0.01824374842323752,0.07737961531099972,0.027378520611386202,0.3336473989156926,2.220446049250313e-16,7.252719828671031e-18,-0.014371942827644835,0.6176179805580793,0.604294007576494,-4.256776545972231e-18,,0.0,1.696767432464968e-18,-0.0030058354275115553,0.003505088895953026,4.138754381380737e-15,0.9975845410628019,0.9692898272552783,0.019741677292619386,0.3305346305493594,{}
ntv3_prior,213091,414,521,0.027378520611386202,0.10572464530473538,0.027378520611386202,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.028598928789919487,0.0,{}
methylprophet_static_prior,213091,414,521,0.03392664815851034,0.10925286150342553,0.027378520611386202,-0.23917024736540715,0.0,,,0.23109029776972168,0.2615544009158264,,,0.0,,,,0.0,0.028985507246376812,0.46833013435700577,0.03494320462283686,-0.22574546639638154,{}
methylprophet_original,213091,414,521,0.027192729338890297,0.09608731449062449,0.027378520611386202,0.006786023070166847,0.1703877652298621,0.4834627033346857,0.4069416399989134,0.4139564595383637,0.40181628573986694,0.28870180211797775,0.20837090862674235,0.13166053125798394,0.41928285041988966,0.30451226207633153,0.6576347527112875,0.7351538241272567,0.4033816425120773,0.5431861804222649,0.028015248694179658,0.0002455512523505121,{}
mp_prior_plus_calibrated_mp_dynamic,213091,414,521,0.02702524200143934,0.09663421221842429,0.027378520611386202,0.012903495223914319,0.22631968731738838,0.47778269689917185,0.39886709303091805,0.3792603816035812,0.3845916390467934,0.2897742995538488,0.20837090862674235,0.1721638375845227,0.4156949813829423,0.302298706065533,0.9152638139791989,0.5220163734234892,0.4178743961352657,0.6046065259117083,0.027885153923322716,0.0062519105520081435,{}
ntv3_prior_plus_calibrated_mp_dynamic,213091,414,521,0.0233574636867951,0.09146437037458333,0.027378520611386202,0.14686903582799227,0.22956984833179195,0.4829361387910614,0.4013965395911804,0.41019824960845785,0.4049800657279989,0.28984853531638916,0.20837090862674235,0.1751196641440651,0.4202076906218976,0.3035027299308942,0.8887090077218452,0.5434131246503743,0.8333333333333334,0.6199616122840691,0.024218831425340665,0.1417502447061424,{}
c0_v0_beta_ensemble,213091,414,521,0.024090850301003667,0.09226481827909562,0.027378520611386202,0.12008210220881166,0.21493886385818617,0.4637971127952012,0.3951412708057326,0.28845394896052085,0.3540201901539838,0.36442556171075874,0.2811365897319143,0.16135191120938486,0.40169637937881597,0.306468458224453,0.97274274079279,0.47679318831740114,0.8719806763285024,0.690978886756238,0.024783533968008944,0.12534759834349324,{}
ntv3_prior_plus_calibrated_c0_dynamic_ensemble,213091,414,521,0.024061835168380015,0.09234150676675146,0.027378520611386202,0.12114187943474353,0.21508853395094119,0.4637770922470898,0.3945674760520385,0.28804828028688684,0.35399677929162554,0.36361896656804,0.2811365897319143,0.16113623343332895,0.40164068289059507,0.30628098201123966,0.9982548694980659,0.46458785869011904,0.8864734299516909,0.6948176583493282,0.024764748157091863,0.12628139141811517,{}
f2_beta_ensemble,213091,414,521,0.023862539509471547,0.09145370122406782,0.027378520611386202,0.12842114998910592,0.21979649365397713,0.47034909588002477,0.39780995868052543,0.29733385092556086,0.3564747074580391,0.35533014482524516,0.2553881173710528,0.1607138839486062,0.4009761779953164,0.30041283878465075,0.9255416278237809,0.5081879428653613,0.8888888888888888,0.6852207293666027,0.024432971106109955,0.13579407628102877,{}
ntv3_prior_plus_calibrated_f2_dynamic_ensemble,213091,414,521,0.023780438617171495,0.09164219177961783,0.027378520611386202,0.13141988368496194,0.22119658982594603,0.4703479696728354,0.39620016421545556,0.2962069844176618,0.3566240338397719,0.3551944357952669,0.2553881173710528,0.16037496610613655,0.400911088392415,0.30003895534331215,0.9883715176443206,0.475881752232056,0.9033816425120773,0.690978886756238,0.024369033391328166,0.1386510531001487,{}
